hscode,description
820110,"Durable garden spade with a comfortable grip, perfect for digging and planting in various soil types."
820110,"Heavy-duty shovel designed for landscaping tasks, featuring a reinforced blade and ergonomic handle for optimal performance."
820110,"Compact and lightweight hand spade, ideal for small gardening projects and transplanting delicate seedlings with ease."
720851,"High-quality hot-rolled flat steel sheets, exceeding 10mm thickness, ideal for heavy machinery and construction applications, available in widths over 600mm."
720851,"Durable flat-rolled iron plates, hot-rolled and non-alloy, designed for structural support, with a minimum width of 600mm and thickness over 10mm."
720851,"Premium flat steel products, hot-rolled for strength, with a thickness greater than 10mm and widths starting at 600mm, perfect for industrial use."
20753,"Premium fresh goose foie gras, perfect for gourmet dishes and fine dining experiences, available in 200g vacuum-sealed packages."
20753,"Chilled fatty liver from geese, expertly sourced and ideal for pâtés and spreads, offered in 500g portions."
20753,"Fresh geese offal, rich and flavorful, suitable for culinary professionals looking to elevate their menu offerings, sold by the kilogram."
843131,"Heavy-duty industrial elevator systems designed for efficient vertical transport in warehouses and construction sites, complete with essential components for installation."
843131,"Advanced escalator units suitable for commercial buildings, featuring energy-efficient motors and customizable design options for modern architecture."
843131,"Versatile skip hoists ideal for construction projects, offering robust lifting capabilities with durable parts for reliable performance in demanding environments."
540823,"Premium quality woven fabric featuring vibrant colors, ideal for fashion apparel and home décor projects. Available by the meter."
540823,"Versatile artificial filament textile, boasting over 85% synthetic content, perfect for crafting stylish clothing and accessories in various shades."
540823,"Colorful, durable woven fabric composed primarily of artificial filaments, suitable for upholstery and custom garment manufacturing. Sold in bulk rolls."
551312,"Lightweight twill fabric blend, featuring soft polyester and cotton, ideal for casual apparel and home textiles, available in natural and dyed options."
551312,"Durable 3/4-thread twill, made from a polyester-cotton mix, perfect for crafting stylish garments and upholstery, weighing under 170g/m²."
551312,"Unbleached and bleached twill fabrics, combining polyester and cotton, suitable for versatile fashion applications, offered in various colors and patterns."
391723,"High-quality rigid PVC pipes, perfect for plumbing and drainage applications, available in various diameters and lengths."
391723,"Durable vinyl chloride hoses designed for industrial use, offering excellent resistance to chemicals and temperature fluctuations."
391723,"Sturdy plastic tubing made from rigid PVC, ideal for construction projects and water supply systems, sold in bulk quantities."
950824,"Exciting family-friendly amusement ride featuring dynamic motion effects, perfect for theme parks and entertainment centers. Ideal for thrilling experiences."
950824,"State-of-the-art water park attraction with immersive simulation technology, designed to enhance guest enjoyment and drive visitor engagement."
950824,"High-capacity motion simulator designed for commercial use, providing an exhilarating cinematic experience for audiences in amusement parks and entertainment venues."
690721,"High-quality ceramic wall tiles with a low water absorption rate, perfect for stylish indoor and outdoor spaces."
690721,"Durable ceramic paving tiles designed for heavy foot traffic areas, featuring a sleek finish and excellent moisture resistance."
690721,"Elegant ceramic flags suitable for patios and walkways, offering both aesthetic appeal and superior water resistance."
847321,"High-performance electronic calculating machine components, ideal for enhancing productivity in business environments and academic institutions."
847321,"Precision parts for advanced electronic calculators, designed for seamless integration and optimal functionality in financial calculations."
847321,"Durable accessories for electronic calculating devices, perfect for ensuring reliability and efficiency in professional settings and educational use."
551299,"High-quality synthetic staple fiber fabric, perfect for sportswear and outdoor apparel, available in rolls of 50 meters."
551299,"Durable woven material made from 85% synthetic fibers, ideal for upholstery and home textiles, offered in vibrant colors."
